Incident Date,State,City Or County,# Incidents
June,Illinois,Mount Vernon,1.0
June,Oregon,Silver Lake,1.0
January,Alabama,Bessemer (Concord),1.0
March,Virginia,Hampton,1.0
June,Connecticut,Waterbury,1.0
December,Ohio,Dayton,1.0
May,South Carolina,Rock Hill,1.0
December,Missouri,Florissant,1.0
March,Texas,Lubbock,1.0
March,Connecticut,Stamford,1.0
April,Michigan,South Haven,1.0
December,Alabama,Anniston,1.0
January,Minnesota,Stillwater,1.0
July,Missouri,Hartville,1.0
June,Florida,Bradenton,1.0
August,Missouri,Saint Joseph,1.0
February,Ohio,Ashtabula,1.0
December,Mississippi,Cleveland,1.0
March,Texas,Killeen,1.0
February,Arizona,Sierra Vista,1.0
August,Texas,Wichita Falls,1.0
July,South Carolina,Myrtle Beach,1.0
August,Colorado,Colorado Springs (Fort Carson),1.0
March,South Carolina,Clio,1.0
July,Idaho,Troy,1.0
June,Illinois,Joliet,1.0
April,Texas,Madisonville,1.0
March,Indiana,Terre Haute,1.0
June,Tennessee,Antioch,1.0
July,South Carolina,Mount Pleasant,1.0
July,Illinois,Springfield,1.0
March,Michigan,Memphis,1.0
January,Wisconsin,New Holstein,1.0
April,Virginia,Fredericksburg,1.0
July,Georgia,Macon,1.0
March,New York,Fort Drum,1.0
December,Minnesota,Saint Paul,1.0
June,Virginia,Chesterfield,1.0
August,Missouri,Kansas City,1.0
November,Ohio,West Chester,1.0
June,Virginia,Vinton,1.0
January,Oregon,Warrenton,1.0
April,Utah,Salt Lake City (West Valley City),4.0
March,Florida,Ocala,1.0
November,North Carolina,Lillington,1.0
January,California,Norwalk,1.0
August,Texas,Weatherford,1.0
August,Missouri,Festus,1.0
July,Arkansas,Cotton Plant (Maberry),1.0
July,Georgia,Roswell,2.0
June,Ohio,Barberton,1.0
May,Ohio,Franklin,1.0
May,Idaho,Shoshone,1.0
February,Florida,Bradenton,1.0
April,Iowa,Westgate,1.0
March,Alabama,Ozark,2.0
April,Pennsylvania,Lancaster,1.0
March,Pennsylvania,Youngsville,1.0
November,Pennsylvania,Philadelphia,1.0
July,Mississippi,Columbus,1.0
June,Ohio,Toledo,1.0
July,Missouri,Florissant (Black Jack),1.0
May,Iowa,Fort Dodge,1.0
June,Arkansas,Danville,1.0
June,South Carolina,Myrtle Beach,1.0
January,Tennessee,Antioch,1.0
December,Michigan,Detroit,1.0
July,Florida,Dunedin,1.0
July,Kentucky,Shelbyville,1.0
July,Iowa,Waterloo,1.0
