Incident Date,State,City Or County,# Incidents
March,Ohio,Cincinnati,1.0
August,Kentucky,Corbin,1.0
May,Wisconsin,Appleton,2.0
August,Ohio,Caldwell,1.0
March,Montana,Hungry Horse,1.0
June,Georgia,Macon,1.0
May,Virginia,Richmond,1.0
August,Wisconsin,Loganville,1.0
March,Ohio,Dayton,1.0
January,Mississippi,Bay Saint Louis,1.0
December,Utah,Roosevelt (Ballard),1.0
March,Colorado,Grand Junction,2.0
April,Maryland,Lothian,1.0
August,Texas,San Antonio,1.0
July,Maine,Portland,2.0
April,North Carolina,Lumberton,1.0
November,Virginia,Williamsburg,1.0
July,South Carolina,Columbia,1.0
October,Indiana,Muncie,1.0
July,Tennessee,Woodbury,1.0
May,Louisiana,Baton Rouge,1.0
May,Florida,Bradenton,1.0
July,Virginia,Chesapeake,1.0
October,Florida,Orlando,1.0
July,South Dakota,Sioux Falls,1.0
September,Mississippi,De Kalb,1.0
May,New York,Utica,2.0
August,Washington,Seattle (Burien),1.0
May,Ohio,Columbus,1.0
February,South Carolina,Sumter,1.0
June,Wisconsin,Racine,1.0
July,North Carolina,Charlotte,1.0
February,Florida,Myakka City,1.0
June,South Dakota,Keystone,1.0
August,Washington,Spokane,1.0
August,Pennsylvania,East Stroudsburg,1.0
April,Florida,Miami Beach,1.0
May,Mississippi,Meridian,1.0
April,Maryland,Rawlings,1.0
October,South Carolina,West Columbia,1.0
May,Illinois,Chicago,1.0
October,Pennsylvania,Bangor,1.0
May,Florida,Boynton Beach,1.0
July,Louisiana,Chalmette,1.0
June,Indiana,Gary,1.0
April,Wisconsin,Milwaukee,1.0
July,Texas,Tomball,1.0
May,Georgia,Atlanta,1.0
June,Indiana,North Vernon,1.0
September,Texas,Haltom City,1.0
July,Mississippi,Corinth,1.0
October,Georgia,Forest Park,1.0
August,New York,Syracuse,1.0
March,Florida,Greenacres,1.0
August,North Carolina,Forest City,2.0
May,Ohio,Blanchester,1.0
May,Nebraska,Taylor,1.0
August,Arizona,Queen Creek,1.0
March,Alabama,Huntsville,2.0
September,New York,Yonkers,1.0
November,Missouri,Columbia,1.0
October,Indiana,Indianapolis,1.0
July,Kentucky,Berea,1.0
June,California,Mammoth Lakes,1.0
November,Indiana,Elizabeth,1.0
July,Indiana,Anderson,1.0
June,Colorado,Denver,1.0
July,West Virginia,Princeton,1.0
May,Kansas,Wichita,1.0
April,Kentucky,Paris,1.0
March,Michigan,Battle Creek,1.0
March,Michigan,Macomb,1.0
May,Louisiana,Shreveport,1.0
December,Alabama,Cullman,1.0
July,Texas,Premont,1.0
April,Kentucky,Bell (county),1.0
July,Texas,Killeen,1.0
September,Texas,Cleveland (Plum Grove),1.0
June,New Hampshire,Litchfield,1.0
March,Indiana,South Bend,1.0
August,Kansas,Kinsley,1.0
April,California,Hemet,1.0
June,Wisconsin,Union Grove,1.0
March,Georgia,Brunswick,1.0
