"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 27, 2018",Pennsylvania,"New Bloomfield","1600 block of Jericho Rd",1,0,N/A
"May 26, 2018",Utah,"Salt Lake City (West Valley City)","2700 S Fair Isle Ln",1,0,N/A
"May 26, 2018",Louisiana,"Lake Charles (Moss Bluff)","Koonce Rd",1,0,N/A
"May 26, 2018",Illinois,Chicago,"800 block of E 49th St",1,0,N/A
"May 25, 2018",Louisiana,"Baton Rouge","3500 block of of Victoria Dr",1,0,N/A
"May 25, 2018",Pennsylvania,Erie,"400 block of W 8th St",1,0,N/A
"May 22, 2018",Virginia,Roanoke,"3400 block of Bennett Dr",1,0,N/A
"May 22, 2018",Virginia,Louisa,"Bakers Branch Rd",1,0,N/A
"May 22, 2018",Nebraska,Burwell,"46164 Halfway Rd",1,0,N/A
"May 22, 2018",Nebraska,Taylor,N/A,1,0,N/A
"May 19, 2018",Pennsylvania,"Lock Haven","10 block of N Henderson St",1,0,N/A
"May 19, 2018",Alabama,Dothan,"2100 block of Baker Trace",1,0,N/A
"May 18, 2018",Oklahoma,Tulsa,"2600 block of E Oklahoma St",1,0,N/A
"May 16, 2018",Florida,Ocala,"807 SE 33rd Ave",1,0,N/A
"May 16, 2018",Minnesota,"Minneapolis (Plymouth)","6000 block of Shenandoah Ln",1,0,N/A
"May 14, 2018",Mississippi,Meridian,"2427 4th Ave",1,0,N/A
"May 13, 2018","New Hampshire",Keene,"132 Washington St",1,0,N/A
"May 13, 2018",California,"Santa Cruz","515 Beach St",1,0,N/A
"May 13, 2018",Tennessee,Memphis,N/A,1,0,N/A
"May 13, 2018",Arizona,Mesa,"540 S Country Club Rd",1,0,N/A
"May 12, 2018",Illinois,Rockford,"1100 block of Fairview Ave",1,0,N/A
"May 12, 2018",Texas,Rockwall,"1100 block of Fairview Dr",1,0,N/A
"May 12, 2018",Kansas,Wichita,"1900 block of W McCormick St",1,0,N/A
"May 10, 2018",Iowa,Clarksville,N/A,1,0,N/A
"May 9, 2018",Texas,Houston,"3230 W Little York Rd",1,1,N/A
"May 9, 2018","West Virginia",Huntington,"800 block of 11th Ave",1,0,N/A
"May 9, 2018",Idaho,Shoshone,"210 N Rail St W",1,0,N/A
"May 8, 2018",California,"Pacoima (Arleta)","San Fernando Road",1,0,N/A
"May 7, 2018",Michigan,"Six Lakes","10020 Musson Rd",1,0,N/A
"May 7, 2018",Virginia,Richmond,"11 N Laburnum Ave",1,0,N/A
"May 6, 2018",Georgia,Albany,"500 block of 9th Ave",1,0,N/A
"May 4, 2018","South Carolina",Walterboro,"Robinson Rd",1,0,N/A
"May 1, 2018",Texas,"Corpus Christi","204 Blevins Street",1,1,N/A
"April 30, 2018",Texas,Christine,N/A,1,1,N/A
"April 28, 2018",Washington,"Pe Ell","500 block of 3rd St",1,0,N/A
"April 24, 2018",Texas,Madisonville,"101 N May St",1,0,N/A
"April 21, 2018",Colorado,Olathe,"Traver Trail",1,0,N/A
"April 21, 2018",Florida,Deltona,"Corrigan Dr",1,0,N/A
"April 20, 2018",Ohio,Wickliffe,"28611 Euclid Avenue",1,0,N/A
"April 20, 2018",Indiana,Bedford,"811 Constitution Ave",1,0,N/A
"April 18, 2018",Tennessee,Englewood,"TN 39",1,0,N/A
"April 16, 2018",Virginia,Roanoke,"5000 block of King Arthur Ct NW",1,0,N/A
"April 16, 2018",Iowa,Waukon,"537 4th St SE",1,0,N/A
"April 15, 2018",Indiana,"Fort Wayne","2700 block of Chestnut St",1,1,N/A
"April 15, 2018",Pennsylvania,Lancaster,"216 E Liberty St",1,0,N/A
"April 14, 2018",Michigan,Charlevoix,"May St",1,0,N/A
"April 8, 2018",Michigan,Detroit,"3700 block of Rolfs Pl",1,0,N/A
"April 5, 2018",Maryland,Rawlings,"Benson Dr SW",1,0,N/A
"April 5, 2018",Michigan,"Benton Harbor","3634  Fieldtree Rd",1,0,N/A
"April 2, 2018",Michigan,Detroit,"17600 block of San Juan Dr",1,0,N/A
"March 31, 2018",Pennsylvania,Reading,"Kutztown Rd",1,0,N/A
"March 31, 2018",Texas,Bandera,"500 block of Enchanted River",1,0,N/A
"March 31, 2018",Pennsylvania,Temple,"4400 block of Kutztown Rd",1,0,N/A
"March 31, 2018",Missouri,"Saint Louis","3100 block of California Ave",1,0,N/A
"March 28, 2018",Indiana,"Terre Haute","Golf Bag Ln",1,0,N/A
"March 25, 2018",Alaska,"Barrow (Utqiagvik)",N/A,1,0,N/A
"March 25, 2018",Georgia,Brunswick,"104 Eagles Point Dr",1,0,N/A
"March 25, 2018",Michigan,Memphis,"13000 block of Dunn Rd",1,0,N/A
"March 24, 2018",Texas,Houston,"6500 block of Calder St",1,0,N/A
"March 21, 2018","South Carolina",Seneca,"Lands End Rd",1,0,N/A
"March 21, 2018",Texas,Martinsville,"TX 7",1,0,N/A
"March 20, 2018",Texas,"El Paso","12000 block of Desert View Dr",1,0,N/A
"March 15, 2018",Alabama,Warrior,"2400 block of Elvester Rd",1,1,N/A
"March 15, 2018",California,Newhall,"23121 Coltrane Ave",1,0,N/A
"March 13, 2018",Florida,Miami,"301 Michigan Ave",1,0,N/A
