,Incident Date,State,City Or County,# Killed,# Injured
111,"April 30, 2018",Texas,Christine,1.0,1
112,"April 28, 2018",Washington,Pe Ell,1.0,0
113,"April 24, 2018",Texas,Madisonville,1.0,0
114,"April 21, 2018",Colorado,Olathe,1.0,0
115,"April 21, 2018",Florida,Deltona,1.0,0
116,"April 20, 2018",Ohio,Wickliffe,1.0,0
117,"April 20, 2018",Indiana,Bedford,1.0,0
118,"April 18, 2018",Tennessee,Englewood,1.0,0
119,"April 16, 2018",Virginia,Roanoke,1.0,0
120,"April 16, 2018",Iowa,Waukon,1.0,0
121,"April 15, 2018",Indiana,Fort Wayne,1.0,1
122,"April 15, 2018",Pennsylvania,Lancaster,1.0,0
123,"April 14, 2018",Michigan,Charlevoix,1.0,0
124,"April 8, 2018",Michigan,Detroit,1.0,0
125,"April 5, 2018",Maryland,Rawlings,1.0,0
126,"April 5, 2018",Michigan,Benton Harbor,1.0,0
127,"April 2, 2018",Michigan,Detroit,1.0,0
128,"March 31, 2018",Pennsylvania,Reading,1.0,0
129,"March 31, 2018",Texas,Bandera,1.0,0
130,"March 31, 2018",Pennsylvania,Temple,1.0,0
131,"March 31, 2018",Missouri,Saint Louis,1.0,0
132,"March 28, 2018",Indiana,Terre Haute,1.0,0
133,"March 25, 2018",Alaska,Barrow (Utqiagvik),1.0,0
134,"March 25, 2018",Georgia,Brunswick,1.0,0
135,"March 25, 2018",Michigan,Memphis,1.0,0
136,"March 24, 2018",Texas,Houston,1.0,0
137,"March 21, 2018",South Carolina,Seneca,1.0,0
138,"March 21, 2018",Texas,Martinsville,1.0,0
139,"March 20, 2018",Texas,El Paso,1.0,0
140,"March 15, 2018",Alabama,Warrior,1.0,1
141,"March 15, 2018",California,Newhall,1.0,0
142,"March 13, 2018",Florida,Miami,1.0,0
143,"March 12, 2018",Louisiana,Lake Providence,1.0,0
144,"March 12, 2018",Alabama,Mobile,1.0,0
145,"March 12, 2018",Alabama,Huntsville,1.0,1
146,"March 12, 2018",Tennessee,Clarksville,1.0,0
147,"March 12, 2018",Florida,Miami Beach,1.0,0
148,"March 11, 2018",Washington,Tacoma,1.0,0
149,"March 10, 2018",South Carolina,Easley,1.0,0
150,"March 10, 2018",Wisconsin,Milwaukee,1.0,0
151,"March 9, 2018",Maryland,Edgewood,1.0,0
152,"March 7, 2018",Alabama,Birmingham,1.0,2
153,"March 4, 2018",California,Oroville,1.0,0
154,"March 4, 2018",Virginia,Unionville,1.0,0
155,"March 4, 2018",Georgia,Atlanta,1.0,0
156,"March 4, 2018",Michigan,Detroit,1.0,0
157,"March 4, 2018",Oklahoma,Tulsa,1.0,0
158,"March 4, 2018",Texas,Houston,1.0,0
159,"March 2, 2018",Florida,Pompano Beach,1.0,0
160,"March 2, 2018",Colorado,Arboles,1.0,0
161,"February 25, 2018",Louisiana,Baker,1.0,0
162,"February 25, 2018",Arkansas,El Dorado,1.0,0
163,"February 23, 2018",Louisiana,Monroe,1.0,0
164,"February 22, 2018",Colorado,Westminster,1.0,0
165,"February 22, 2018",Ohio,Sandusky,1.0,0
166,"February 21, 2018",Florida,Bradenton,1.0,0
167,"February 20, 2018",New Hampshire,Danville,1.0,0
168,"February 20, 2018",Texas,El Paso,1.0,0
169,"February 20, 2018",Alabama,Moulton,1.0,0
170,"February 20, 2018",North Carolina,Taylorsville,1.0,0
171,"February 18, 2018",South Carolina,Sumter,1.0,0
172,"February 18, 2018",Arizona,Sierra Vista,1.0,0
173,"February 17, 2018",Florida,Orlando,1.0,0
174,"February 16, 2018",Ohio,Ashtabula,1.0,0
175,"February 14, 2018",Louisiana,Westlake,1.0,0
176,"February 12, 2018",Illinois,Belleville,1.0,0
177,"February 8, 2018",Florida,Myakka City,1.0,0
178,"February 8, 2018",Texas,Lubbock,1.0,0
179,"February 8, 2018",Alabama,Talladega,1.0,0
180,"February 7, 2018",Tennessee,Nashville,1.0,0
181,"February 7, 2018",New York,Syracuse,1.0,0
182,"February 3, 2018",Mississippi,Gulfport,1.0,0
183,"February 3, 2018",California,Santa Maria,1.0,0
184,"February 3, 2018",Louisiana,Baton Rouge,1.0,0
185,"January 31, 2018",Oregon,Warrenton,1.0,0
186,"January 28, 2018",Texas,Houston,1.0,0
187,"January 28, 2018",California,Norwalk,1.0,0
188,"January 27, 2018",Texas,Texas City,1.0,0
189,"January 26, 2018",Florida,Marianna,1.0,0
190,"January 25, 2018",Texas,Houston,1.0,0
191,"January 25, 2018",Alabama,Athens,1.0,0
192,"January 24, 2018",Texas,Fort Worth,1.0,0
193,"January 23, 2018",Alabama,Atmore,1.0,0
194,"January 21, 2018",Indiana,Campbellsburg,1.0,0
195,"January 20, 2018",California,Compton,1.0,0
196,"January 20, 2018",Indiana,Holton,1.0,0
197,"January 19, 2018",Michigan,Merrill,2.0,0
198,"January 19, 2018",Minnesota,Stillwater,1.0,0
199,"January 15, 2018",Tennessee,Antioch,1.0,0
200,"January 14, 2018",Nebraska,Genoa,1.0,0
201,"January 13, 2018",Wisconsin,New Holstein,1.0,0
202,"January 12, 2018",South Dakota,Watertown,1.0,0
203,"January 12, 2018",North Carolina,Leland (Belville),1.0,0
204,"January 12, 2018",Mississippi,Jackson,1.0,0
205,"January 11, 2018",South Carolina,Rock Hill,1.0,0
206,"January 3, 2018",Mississippi,Oxford,1.0,0
207,"January 2, 2018",Ohio,Akron,1.0,0
208,"January 2, 2018",California,Thousand Palms,1.0,0
209,"January 2, 2018",Mississippi,Bay Saint Louis,1.0,0
210,"January 1, 2018",Tennessee,Knoxville,1.0,0
211,"January 1, 2018",Ohio,Youngstown,1.0,0
212,"January 1, 2018",Alabama,Bessemer (Concord),1.0,0
213,"January 1, 2018",Oregon,Sherwood,1.0,0
214,"December 31, 2017",Mississippi,Cleveland,1.0,0
215,"December 31, 2017",Missouri,Florissant,1.0,0
216,"December 31, 2017",Ohio,Groveport,1.0,0
217,"December 30, 2017",Washington,Auburn,1.0,0
218,"December 30, 2017",Texas,Hillsboro,1.0,0
219,"December 28, 2017",Alabama,Brierfield,1.0,0
220,"December 27, 2017",Kansas,Lawrence,1.0,0
221,"December 26, 2017",Illinois,Wilmington,1.0,0
222,"December 25, 2017",California,Ontario,1.0,0
223,"December 24, 2017",Alabama,Cullman,1.0,0
224,"December 22, 2017",New York,Guilford,1.0,0
225,"December 22, 2017",Maryland,Aquasco,1.0,0
226,"December 21, 2017",South Carolina,Inman,1.0,0
227,"December 20, 2017",Alabama,Montgomery,1.0,0
228,"December 20, 2017",Minnesota,Saint Paul,1.0,0
229,"December 19, 2017",Arizona,Glendale,1.0,0
230,"December 17, 2017",Texas,Deer Park,1.0,0
231,"December 16, 2017",Florida,Fort Lauderdale (Sunrise),1.0,0
232,"December 15, 2017",Alabama,Odenville,1.0,0
233,"December 13, 2017",Ohio,Newcomerstown,1.0,0
234,"December 12, 2017",Texas,Cypress,1.0,0
235,"December 11, 2017",Missouri,Hazelwood,1.0,0
236,"December 10, 2017",Ohio,Dayton,1.0,0
237,"December 10, 2017",Utah,Roosevelt (Ballard),1.0,0
238,"December 9, 2017",Alabama,Anniston,1.0,0
239,"December 6, 2017",Texas,Plantersville (Todd Mission),1.0,0
240,"December 6, 2017",Michigan,Detroit,1.0,0
241,"December 5, 2017",Tennessee,Lawrenceburg,1.0,0
242,"December 5, 2017",Alaska,Anchorage,1.0,0
243,"December 4, 2017",New Mexico,Albuquerque,1.0,0
244,"December 2, 2017",Texas,Houston,1.0,0
245,"December 1, 2017",Pennsylvania,Pittsburgh (Bloomfield),1.0,0
246,"November 30, 2017",Arizona,Phoenix,1.0,0
247,"November 27, 2017",Ohio,Conneaut,1.0,0
248,"November 26, 2017",Nevada,West Wendover,1.0,0
249,"November 25, 2017",Tennessee,Memphis (Hickory Hill),1.0,0
250,"November 25, 2017",Georgia,Jefferson,1.0,0
251,"November 24, 2017",Missouri,Columbia,1.0,0
252,"November 24, 2017",Texas,Bulverde,1.0,0
253,"November 24, 2017",Illinois,Delavan,1.0,0
254,"November 22, 2017",New York,Sherman,1.0,0
255,"November 21, 2017",Louisiana,Moreauville,1.0,0
256,"November 20, 2017",West Virginia,New Martinsville,1.0,0
257,"November 19, 2017",Indiana,Elizabeth,1.0,0
258,"November 19, 2017",Ohio,Republic,1.0,0
259,"November 18, 2017",Ohio,West Chester,1.0,0
260,"November 18, 2017",Texas,Concepcion,1.0,0
261,"November 17, 2017",Oregon,Roseburg,1.0,0
262,"November 16, 2017",Colorado,Saguache,1.0,0
